task,dataset,comparison,variant_or_head,metric,difference,unit
severity,dataset_macro,mlp-linear,A3,BCE,0.3514852523803711,BCE
severity,dataset_macro,fractional_dog_polykan-mlp,A3,accuracy,-1.2987012987013102,percentage_points
severity,dataset_macro,fractional_dog_polykan-mlp,A3,balanced_accuracy,-0.9199134199134207,percentage_points
severity,dataset_macro,fractional_dog_polykan-mlp,A3,AUROC,0.8264462809917328,percentage_points
severity,dataset_macro,fractional_dog_polykan-mlp,A3,BCE,-0.12237364053726196,BCE
severity,dataset_macro,fractional_dog_polykan-linear,A4,accuracy,2.8232636928289034,percentage_points
severity,dataset_macro,fractional_dog_polykan-linear,A4,balanced_accuracy,2.9220779220779147,percentage_points
severity,dataset_macro,fractional_dog_polykan-linear,A4,AUROC,-0.6771096868499527,percentage_points
severity,dataset_macro,fractional_dog_polykan-linear,A4,BCE,0.18975332379341125,BCE
severity,dataset_macro,mlp-linear,A4,accuracy,-0.09881422924902239,percentage_points
severity,dataset_macro,mlp-linear,A4,balanced_accuracy,0.0,percentage_points
severity,dataset_macro,mlp-linear,A4,AUROC,-2.3496795412379923,percentage_points
severity,dataset_macro,mlp-linear,A4,BCE,0.26096704602241516,BCE
severity,dataset_macro,fractional_dog_polykan-mlp,A4,accuracy,2.922077922077926,percentage_points
severity,dataset_macro,fractional_dog_polykan-mlp,A4,balanced_accuracy,2.9220779220779147,percentage_points
severity,dataset_macro,fractional_dog_polykan-mlp,A4,AUROC,1.6725698543880396,percentage_points
severity,dataset_macro,fractional_dog_polykan-mlp,A4,BCE,-0.0712137222290039,BCE
state,vrq,A4-A3,linear,accuracy,0.9606986899563297,percentage_points
state,vrq,A4-A3,linear,balanced_accuracy,1.5272627196300181,percentage_points
state,vrq,A4-A3,linear,AUROC,2.968964287251774,percentage_points
state,vrq,A4-A3,linear,BCE,-0.03511667251586914,BCE
state,vrq,A4-A3,fractional_dog_polykan,accuracy,-1.790393013100433,percentage_points
state,vrq,A4-A3,fractional_dog_polykan,balanced_accuracy,-1.6840863944699636,percentage_points
state,vrq,A4-A3,fractional_dog_polykan,AUROC,1.3532191902978608,percentage_points
state,vrq,A4-A3,fractional_dog_polykan,BCE,0.03278321027755737,BCE
state,vrq,A4-A3,mlp,accuracy,-3.3187772925764136,percentage_points
state,vrq,A4-A3,mlp,balanced_accuracy,-2.7624797820458458,percentage_points
state,vrq,A4-A3,mlp,AUROC,1.6011005332004946,percentage_points
state,vrq,A4-A3,mlp,BCE,0.0031905174255371094,BCE
state,city,A4-A3,linear,accuracy,2.2048592529166133,percentage_points
state,city,A4-A3,linear,balanced_accuracy,2.4612560259050786,percentage_points
state,city,A4-A3,linear,AUROC,1.4137657206673815,percentage_points
state,city,A4-A3,linear,BCE,0.03430560231208801,BCE
state,city,A4-A3,fractional_dog_polykan,accuracy,-0.4281280102750751,percentage_points
state,city,A4-A3,fractional_dog_polykan,balanced_accuracy,-1.6812368702145863,percentage_points
state,city,A4-A3,fractional_dog_polykan,AUROC,-0.7146578445732743,percentage_points
state,city,A4-A3,fractional_dog_polykan,BCE,0.017614394426345825,BCE
state,city,A4-A3,mlp,accuracy,0.8669592208070176,percentage_points
state,city,A4-A3,mlp,balanced_accuracy,-0.2865660431713879,percentage_points
state,city,A4-A3,mlp,AUROC,-0.6522825950722844,percentage_points
state,city,A4-A3,mlp,BCE,0.03153890371322632,BCE
state,dataset_macro,A4-A3,linear,accuracy,1.5827789714364715,percentage_points
state,dataset_macro,A4-A3,linear,balanced_accuracy,1.9942593727675484,percentage_points
state,dataset_macro,A4-A3,linear,AUROC,2.191365003959578,percentage_points
state,dataset_macro,A4-A3,linear,BCE,-0.00040553510189056396,BCE
