head,task,variant,dataset,fold,n_samples,accuracy,balanced_accuracy,AUROC,BCE
fractional_dog_polykan,state,A4,vrq,fold_5,379,0.9182058047493403,0.9185984954026192,0.9776121482307049,0.25885123014450073
linear,severity,A3,city,fold_1,30,0.6333333333333333,0.6333333333333333,0.6822222222222222,0.6816364526748657
linear,severity,A3,city,fold_2,29,0.8620689655172413,0.8595238095238096,0.9238095238095237,0.3944556713104248
linear,severity,A3,city,fold_3,30,0.8,0.8,0.8888888888888888,0.45355305075645447
linear,severity,A3,city,fold_4,33,0.7272727272727273,0.7316176470588236,0.7205882352941178,0.6508111953735352
linear,severity,A3,city,fold_5,32,0.71875,0.723529411764706,0.7568627450980392,0.5938531160354614
linear,severity,A3,vrq,fold_1,5,0.6,0.5833333333333333,0.5,0.6544339060783386
linear,severity,A3,vrq,fold_2,5,0.8,0.8333333333333333,1.0,0.4640992283821106
linear,severity,A3,vrq,fold_3,5,0.4,0.5,0.33333333333333337,0.7187025547027588
linear,severity,A3,vrq,fold_4,4,0.5,0.5,0.5,0.811416506767273
linear,severity,A3,vrq,fold_5,4,0.5,0.5,0.75,0.6292023658752441
linear,severity,A4,city,fold_1,30,0.5666666666666667,0.5666666666666667,0.6044444444444445,1.0192570686340332
linear,severity,A4,city,fold_2,29,0.8620689655172413,0.8595238095238096,0.9476190476190476,0.45985057950019836
linear,severity,A4,city,fold_3,30,0.8333333333333334,0.8333333333333334,0.8711111111111112,0.5031062364578247
linear,severity,A4,city,fold_4,33,0.5757575757575758,0.5845588235294118,0.7169117647058824,0.8659554719924927
linear,severity,A4,city,fold_5,32,0.59375,0.6137254901960785,0.7509803921568627,0.6735858917236328
linear,severity,A4,vrq,fold_1,5,1.0,1.0,1.0,0.09585697948932648
linear,severity,A4,vrq,fold_2,5,0.8,0.8333333333333333,1.0,0.26478078961372375
linear,severity,A4,vrq,fold_3,5,0.4,0.5,0.5,0.7436755895614624
linear,severity,A4,vrq,fold_4,4,0.5,0.5,0.5,0.7861015796661377
linear,severity,A4,vrq,fold_5,4,0.5,0.5,0.75,1.0361382961273193
linear,state,A3,city,fold_1,1820,0.8148351648351648,0.8201066969130074,0.8852836330961745,0.3891587257385254
linear,state,A3,city,fold_2,1671,0.8384201077199281,0.8361739680198098,0.9156385647257858,0.36395519971847534
linear,state,A3,city,fold_3,1784,0.6821748878923767,0.7067193877551021,0.7886307397959184,0.5950581431388855
linear,state,A3,city,fold_4,2102,0.7664129400570885,0.7689832437677265,0.8360184355874012,0.47935381531715393
linear,state,A3,city,fold_5,1966,0.7360122075279756,0.7600620567375886,0.8302589918946301,0.5372347831726074
linear,state,A3,vrq,fold_1,507,0.7021696252465484,0.6823843416370107,0.6724089062450792,0.7871161699295044
linear,state,A3,vrq,fold_2,512,0.7890625,0.7816261360845,0.8259257553426677,0.49620842933654785
linear,state,A3,vrq,fold_3,474,0.8185654008438819,0.8185397279885469,0.8605851825340014,0.45825645327568054
linear,state,A3,vrq,fold_4,418,0.7966507177033493,0.7883934641442202,0.8456994162739996,0.47771406173706055
linear,state,A3,vrq,fold_5,379,0.8179419525065963,0.8145165784341042,0.9574672610755085,0.47396448254585266
linear,state,A4,city,fold_1,1820,0.8313186813186814,0.8335874320562111,0.9039476139270652,0.3595277667045593
linear,state,A4,city,fold_2,1671,0.8503889886295631,0.846089846596946,0.9239826547128779,0.3601195216178894
linear,state,A4,city,fold_3,1784,0.7247757847533632,0.7480255102040816,0.839610969387755,0.6321678757667542
linear,state,A4,city,fold_4,2102,0.801617507136061,0.8216440886699508,0.8992979362591431,0.39477410912513733
linear,state,A4,city,fold_5,1966,0.7390640895218719,0.7662107396149949,0.8109902693346842,0.7877118587493896
linear,state,A4,vrq,fold_1,507,0.6745562130177515,0.6613705791578748,0.7419771360186438,0.7245712876319885
linear,state,A4,vrq,fold_2,512,0.79296875,0.7886268730041759,0.8310304593465979,0.5294057130813599
linear,state,A4,vrq,fold_3,474,0.8037974683544303,0.8062813171080887,0.8627236936292055,0.48059797286987305
linear,state,A4,vrq,fold_4,418,0.8086124401913876,0.8040180978502942,0.8501652718193965,0.4864169657230377
linear,state,A4,vrq,fold_5,379,0.9129287598944591,0.9136946224575091,0.9779465032042352,0.2630634009838104
mlp,severity,A3,city,fold_1,30,0.6333333333333333,0.6333333333333333,0.6622222222222223,0.8550311923027039
mlp,severity,A3,city,fold_2,29,0.7931034482758621,0.7857142857142857,0.9095238095238096,0.5535129904747009
mlp,severity,A3,city,fold_3,30,0.8333333333333334,0.8333333333333334,0.8755555555555555,0.4324757158756256
