contrast,task,dataset,accuracy,balanced_accuracy,AUROC,BCE
R1_dog - R1_poly,severity,city,0.034482758620689724,0.033333333333333326,-0.023809523809523836,0.05471968650817871
R1_dog - R1_poly,severity,macro,-0.08275862068965512,-0.10833333333333328,-0.011904761904761973,0.045841142535209656
R2_dog - R2_mlp,state,vrq,0.003759398496240629,0.004330842391304324,0.005845221920289911,-0.0192815363407135
R2_dog - R2_mlp,state,city,-0.0053222945002956434,-0.009130161788359015,0.003902072599766715,-0.006471484899520874
R2_dog - R2_mlp,state,macro,-0.0007814480020275072,-0.002399659698527401,0.004873647260028369,-0.012876510620117188
R2_dog - R2_mlp,severity,vrq,0.0,0.0,0.0,0.07498353719711304
R2_dog - R2_mlp,severity,city,-0.06896551724137934,-0.0714285714285714,0.03333333333333344,-0.002114534378051758
R2_dog - R2_mlp,severity,macro,-0.034482758620689724,-0.0357142857142857,0.01666666666666672,0.03643450140953064
R2_dog - R2_poly,state,vrq,0.003759398496240629,0.003198596014492794,0.015214560688405876,-0.01765957474708557
R2_dog - R2_poly,state,city,-0.0017740981667652145,-0.0024778591067950995,-0.0006436556198732291,0.0029221177101135254
R2_dog - R2_poly,state,macro,0.0009926501647377073,0.0003603684538487917,0.007285452534266379,-0.007368728518486023
R2_dog - R2_poly,severity,vrq,0.0,0.0,0.0,0.019068241119384766
R2_dog - R2_poly,severity,city,0.0,-0.0023809523809523725,0.01904761904761909,0.0040225982666015625
R2_dog - R2_poly,severity,macro,0.0,-0.0011904761904761862,0.00952380952380949,0.011545419692993164
R2_dog - linear,state,vrq,0.018796992481203034,0.020097373188405765,0.027060688405797118,-0.03564441204071045
R2_dog - linear,state,city,0.030751034890597273,0.03207884996373167,0.0183033295201398,-0.049799829721450806
R2_dog - linear,state,macro,0.024774013685900154,0.026088111576068718,0.02268200896296846,-0.04272212088108063
R2_dog - linear,severity,vrq,0.0,0.0,0.0,-0.07951420545578003
R2_dog - linear,severity,city,0.0,-0.004761904761904745,0.023809523809523947,0.008202075958251953
R2_dog - linear,severity,macro,0.0,-0.0023809523809523725,0.011904761904761973,-0.03565606474876404
R2_dog - R2_order1,state,vrq,0.0,0.0,-4.245923913037686e-05,0.0001156926155090332
R2_dog - R2_order1,state,city,0.0,0.0,-6.594244657931458e-05,0.00010696053504943848
R2_dog - R2_order1,state,macro,0.0,0.0,-5.420084285479021e-05,0.00011132657527923584
R2_dog - R2_order1,severity,vrq,0.0,0.0,0.0,-0.0004703402519226074
