config,task,dataset,accuracy,balanced_accuracy,AUROC,BCE,n_samples,n_subjects,positive_fraction,majority_accuracy,best_step,total_steps,last_BCE,parameters,trainable_parameters
R2_dog,state,city,0.8793613246599645,0.8797639833825035,0.9393128797066422,0.29311054944992065,1691,5,0.4222353636901242,0.5777646363098758,470,2350,0.4718109667301178,171069,171069
R2_dog,severity,vrq,1.0,1.0,1.0,0.3928096294403076,5,5,0.6,0.6,41,81,0.41120395064353943,172029,172029
R2_dog,severity,city,0.8275862068965517,0.8238095238095238,0.9666666666666668,0.3621075749397278,29,5,0.4827586206896552,0.5172413793103449,186,426,0.39684179425239563,172029,172029
R2_mlp,state,vrq,0.8157894736842105,0.8141134510869565,0.8635926177536232,0.46454334259033203,532,5,0.518796992481203,0.518796992481203,121,546,0.9670206904411316,170767,170767
R2_mlp,state,city,0.8846836191602602,0.8888941451708625,0.9354108071068755,0.29958203434944153,1691,5,0.4222353636901242,0.5777646363098758,282,2162,0.6590073704719543,170767,170767
R2_mlp,severity,vrq,1.0,1.0,1.0,0.3178260922431946,5,5,0.6,0.6,42,82,0.33298924565315247,171727,171727
R2_mlp,severity,city,0.896551724137931,0.8952380952380952,0.9333333333333333,0.36422210931777954,29,5,0.4827586206896552,0.5172413793103449,108,348,0.792892336845398,171727,171727
R2_poly,state,vrq,0.8157894736842105,0.8152456974637681,0.8542232789855072,0.4629213809967041,532,5,0.518796992481203,0.518796992481203,121,546,0.580788254737854,170011,170011
R2_poly,state,city,0.8811354228267297,0.8822418424892986,0.9399565353265155,0.29018843173980713,1691,5,0.4222353636901242,0.5777646363098758,470,2350,0.41747188568115234,170011,170011
R2_poly,severity,vrq,1.0,1.0,1.0,0.37374138832092285,5,5,0.6,0.6,74,114,0.41315484046936035,170971,170971
R2_poly,severity,city,0.8275862068965517,0.8261904761904761,0.9476190476190477,0.3580849766731262,29,5,0.4827586206896552,0.5172413793103449,186,426,0.38700738549232483,170971,170971
linear,state,vrq,0.8007518796992481,0.7983469202898551,0.842377151268116,0.480906218290329,532,5,0.518796992481203,0.518796992481203,495,924,0.48107054829597473,526,526
linear,state,city,0.8486102897693673,0.8476851334187718,0.9210095501865024,0.34291037917137146,1691,5,0.4222353636901242,0.5777646363098758,5735,7585,0.3563547432422638,526,526
linear,severity,vrq,1.0,1.0,1.0,0.47232383489608765,5,5,0.6,0.6,165,205,0.5225905179977417,526,526
linear,severity,city,0.8275862068965517,0.8285714285714285,0.9428571428571428,0.35390549898147583,29,5,0.4827586206896552,0.5172413793103449,1398,1440,0.3620292544364929,526,526
R2_order1,state,vrq,0.8195488721804511,0.8184442934782609,0.8694802989130435,0.4451461136341095,532,5,0.518796992481203,0.518796992481203,121,546,0.652445912361145,171069,171068
R2_order1,state,city,0.8793613246599645,0.8797639833825035,0.9393788221532215,0.2930035889148712,1691,5,0.4222353636901242,0.5777646363098758,470,2350,0.4829395115375519,171069,171068
R2_order1,severity,vrq,1.0,1.0,1.0,0.3932799696922302,5,5,0.6,0.6,41,81,0.411482572555542,172029,172028
R2_order1,severity,city,0.8275862068965517,0.8238095238095238,0.9666666666666668,0.3625437617301941,29,5,0.4827586206896552,0.5172413793103449,186,426,0.3976817727088928,172029,172028
R2_no_dog,state,vrq,0.8195488721804511,0.8184442934782609,0.8695793704710144,0.44519931077957153,532,5,0.518796992481203,0.518796992481203,121,546,0.6512178778648376,171069,170542
R2_no_dog,state,city,0.8793613246599645,0.8797639833825035,0.9394418975369064,0.29287803173065186,1691,5,0.4222353636901242,0.5777646363098758,470,2350,0.475452184677124,171069,170542
R2_no_dog,severity,vrq,1.0,1.0,1.0,0.3927212357521057,5,5,0.6,0.6,41,81,0.41119080781936646,172029,171502
R2_no_dog,severity,city,0.8275862068965517,0.8238095238095238,0.9666666666666668,0.3623436987400055,29,5,0.4827586206896552,0.5172413793103449,186,426,0.39677897095680237,172029,171502
R2_order1_no_dog,state,vrq,0.8195488721804511,0.8184442934782609,0.8694661458333333,0.44520658254623413,532,5,0.518796992481203,0.518796992481203,121,546,0.6524878144264221,171069,170541
R2_order1_no_dog,state,city,0.8793613246599645,0.8797639833825035,0.9393831227475637,0.2930021584033966,1691,5,0.4222353636901242,0.5777646363098758,470,2350,0.483514666557312,171069,170541
R2_order1_no_dog,severity,vrq,1.0,1.0,1.0,0.39327841997146606,5,5,0.6,0.6,41,81,0.4115695059299469,172029,171501
R2_order1_no_dog,severity,city,0.8275862068965517,0.8238095238095238,0.9666666666666668,0.3621102571487427,29,5,0.4827586206896552,0.5172413793103449,186,426,0.39751535654067993,172029,171501
