seed,split,config,accuracy,balanced_accuracy,AUROC,BCE,subject_macro_segment_accuracy,subject_aggregated_accuracy,subject_aggregated_balanced_accuracy,subject_aggregated_AUROC,subject_count,n_segments,n_subjects,best_step,parameters
2001,split_3,dog,0.6972477064220184,0.6972477064220184,0.7581011699351906,0.5794220566749573,0.69507007007007,0.8333333333333334,0.8333333333333333,0.7777777777777778,6,218,6,26,138513
3001,split_1,base,0.5092592592592593,0.5087478559176672,0.5092624356775299,0.6961472034454346,0.5055055055055055,0.6666666666666666,0.6666666666666666,0.4444444444444445,6,216,6,4,35291
3001,split_1,mlp,0.5231481481481481,0.5247855917667238,0.5329331046312178,0.710395872592926,0.521315433080139,0.6666666666666666,0.6666666666666666,0.5555555555555556,6,216,6,4,138590
3001,split_1,poly,0.5185185185185185,0.5178387650085763,0.5222984562607204,0.7104572057723999,0.5155596773243832,0.5,0.5,0.5555555555555556,6,216,6,4,104310
3001,split_1,fractional,0.5185185185185185,0.5178387650085763,0.5222984562607204,0.7104164958000183,0.5155596773243832,0.5,0.5,0.5555555555555556,6,216,6,4,104852
3001,split_1,dog,0.5138888888888888,0.517409948542024,0.5509433962264151,0.7099990844726562,0.5138962491903668,0.5,0.5,0.5555555555555556,6,216,6,4,138513
3001,split_2,base,0.7941176470588235,0.7528199729282599,0.8838923146337796,0.44608166813850403,0.758996758996759,0.8333333333333334,0.8333333333333333,1.0,6,170,6,24,35291
3001,split_2,mlp,0.7941176470588235,0.7853060610618138,0.8647916979996991,0.47063305974006653,0.8097756847756848,1.0,1.0,1.0,6,170,6,4,138590
3001,split_2,poly,0.7823529411764706,0.7436456610016544,0.8822379305158671,0.442519873380661,0.7584288834288836,0.8333333333333334,0.8333333333333333,1.0,6,170,6,4,104310
3001,split_2,fractional,0.7823529411764706,0.7436456610016544,0.8822379305158671,0.44252490997314453,0.7584288834288836,0.8333333333333334,0.8333333333333333,1.0,6,170,6,4,104852
3001,split_2,dog,0.7941176470588235,0.7672582343209505,0.8674988720108286,0.45947131514549255,0.7673127673127672,1.0,1.0,1.0,6,170,6,24,138513
3001,split_3,base,0.6559633027522935,0.6559633027522935,0.7046544903627641,0.6375513076782227,0.6539039039039038,0.8333333333333334,0.8333333333333333,0.888888888888889,6,218,6,13,35291
3001,split_3,mlp,0.6559633027522935,0.6559633027522935,0.7290632101674943,0.6145349740982056,0.6537787787787789,0.6666666666666666,0.6666666666666666,0.888888888888889,6,218,6,26,138590
3001,split_3,poly,0.6513761467889908,0.6513761467889908,0.7360491541116068,0.6042788624763489,0.6488988988988988,0.8333333333333334,0.8333333333333333,0.888888888888889,6,218,6,32,104310
3001,split_3,fractional,0.6513761467889908,0.6513761467889908,0.7366383301068933,0.6038769483566284,0.6488988988988988,0.8333333333333334,0.8333333333333333,0.888888888888889,6,218,6,32,104852
3001,split_3,dog,0.6697247706422018,0.6697247706422018,0.7380691860954466,0.5992861390113831,0.6674174174174174,0.8333333333333334,0.8333333333333333,0.888888888888889,6,218,6,26,138513
4001,split_1,base,0.5370370370370371,0.5408233276157804,0.5823327615780446,0.6849480271339417,0.5390758405464288,0.5,0.5,0.6666666666666667,6,216,6,4,35291
4001,split_1,mlp,0.5,0.5006861063464837,0.5771869639794168,0.6861332654953003,0.4979391155861744,0.6666666666666666,0.6666666666666666,0.6666666666666667,6,216,6,4,138590
4001,split_1,poly,0.5370370370370371,0.5394511149228131,0.6156089193825043,0.6773644685745239,0.5372136842725078,0.5,0.5,0.6666666666666667,6,216,6,12,104310
4001,split_1,fractional,0.5370370370370371,0.5394511149228131,0.6157804459691252,0.6773999333381653,0.5372136842725078,0.5,0.5,0.6666666666666667,6,216,6,12,104852
