seed,split,contrast,accuracy,balanced_accuracy,AUROC,BCE,subject_macro_segment_accuracy,subject_aggregated_accuracy,subject_aggregated_balanced_accuracy,subject_aggregated_AUROC
3001,split_1,dog - base,0.004629629629629539,0.008662092624356799,0.04168096054888515,0.01385188102722168,0.008390743684861257,-0.16666666666666663,-0.16666666666666663,0.1111111111111111
3001,split_1,dog - mlp,-0.0092592592592593,-0.007375643224699746,0.018010291595197292,-0.0003967881202697754,-0.007419183889772141,-0.16666666666666663,-0.16666666666666663,0.0
3001,split_1,dog - poly,-0.00462962962962965,-0.0004288164665522398,0.028644939965694727,-0.00045812129974365234,-0.0016634281340164314,0.0,0.0,0.0
3001,split_1,dog - fractional,-0.00462962962962965,-0.0004288164665522398,0.028644939965694727,-0.00041741132736206055,-0.0016634281340164314,0.0,0.0,0.0
3001,split_2,dog - base,0.0,0.014438261392690666,-0.01639344262295095,0.013389647006988525,0.008316008316008205,0.16666666666666663,0.16666666666666674,0.0
3001,split_2,dog - mlp,0.0,-0.01804782674086325,0.0027071740111295206,-0.011161744594573975,-0.04246291746291764,0.0,0.0,0.0
3001,split_2,dog - poly,0.0117647058823529,0.023612573319296115,-0.014739058505038427,0.016951441764831543,0.008883883883883614,0.16666666666666663,0.16666666666666674,0.0
3001,split_2,dog - fractional,0.0117647058823529,0.023612573319296115,-0.014739058505038427,0.016946405172348022,0.008883883883883614,0.16666666666666663,0.16666666666666674,0.0
3001,split_3,dog - base,0.013761467889908285,0.013761467889908285,0.03341469573268252,-0.0382651686668396,0.013513513513513598,0.0,0.0,0.0
3001,split_3,dog - mlp,0.013761467889908285,0.013761467889908285,0.00900597592795227,-0.01524883508682251,0.013638638638638567,0.16666666666666674,0.16666666666666663,0.0
3001,split_3,dog - poly,0.01834862385321101,0.01834862385321101,0.0020200319838398206,-0.00499272346496582,0.0185185185185186,0.0,0.0,0.0
3001,split_3,dog - fractional,0.01834862385321101,0.01834862385321101,0.0014308559885533034,-0.004590809345245361,0.0185185185185186,0.0,0.0,0.0
4001,split_1,dog - base,0.004629629629629539,0.0016295025728988444,0.027787307032590025,-0.007945716381072998,0.00038273567685331855,0.16666666666666663,0.16666666666666663,0.0
4001,split_1,dog - mlp,0.04166666666666663,0.0417667238421956,0.03293310463121779,-0.00913095474243164,0.04151946063710771,0.0,0.0,0.0
4001,split_1,dog - poly,0.004629629629629539,0.003001715265866234,-0.005488850771869669,-0.00036215782165527344,0.0022448919507742637,0.16666666666666663,0.16666666666666663,0.0
4001,split_1,dog - fractional,0.004629629629629539,0.003001715265866234,-0.005660377358490565,-0.00039762258529663086,0.0022448919507742637,0.16666666666666663,0.16666666666666663,0.0
4001,split_2,dog - base,-0.0117647058823529,-0.016393442622950727,-0.02240938486990518,0.021254152059555054,-0.017325017325017122,-0.16666666666666663,-0.16666666666666674,0.0
4001,split_2,dog - mlp,0.01764705882352935,0.013761467889908285,-0.000601594224695412,-0.0013027787208557129,0.0031167531167531903,-0.16666666666666663,-0.16666666666666674,0.0
4001,split_2,dog - poly,0.02941176470588236,0.03737404120920451,0.021506993532862118,-0.02038136124610901,0.033169533169533305,0.0,0.0,0.0
4001,split_2,dog - fractional,0.02941176470588236,0.03737404120920451,0.021506993532862118,-0.02034851908683777,0.033169533169533305,0.0,0.0,0.0
4001,split_3,dog - base,-0.00917431192660545,-0.00917431192660556,-0.016917767864657818,-0.002013087272644043,-0.009009009009008917,0.0,0.0,0.0
4001,split_3,dog - mlp,0.022935779816513735,0.022935779816513846,-0.0020200319838397096,0.00022345781326293945,0.02302302302302306,0.16666666666666674,0.16666666666666663,0.0
4001,split_3,dog - poly,-0.01834862385321101,-0.01834862385321101,0.0033667199730662567,-0.004055917263031006,-0.01864364364364357,0.0,0.0,0.11111111111111116
4001,split_3,dog - fractional,-0.022935779816513735,-0.022935779816513735,0.0033667199730662567,-0.004155516624450684,-0.02314814814814814,0.0,0.0,0.11111111111111116
